cgpa,tenth_percentage,twelfth_percentage,internships,projects,aptitude_score,communication_score,coding_score,backlogs,certifications,placed
7.49,80.93,75.84,1,3,79.75,56.6,80.77,1,2,1
8.24,83.56,81.61,3,2,72.76,83.87,83.23,0,4,1
8.86,88.75,86.73,2,3,91.13,80.26,82.21,1,2,1
5.85,63.6,63.34,1,3,79.66,67.79,69.91,0,2,1
6.27,62.52,66.98,1,0,34.73,24.14,15.12,2,0,0
6.01,59.02,56.69,0,1,31.59,54.6,47.42,3,0,0
6.5,73.87,66.99,3,2,49.59,70.49,63.21,2,3,0
6.97,57.26,61.25,0,0,51.5,61.5,31.76,2,1,0
7.83,75.92,86.73,2,3,91.43,76.32,94.27,1,3,1
5.8,65.79,61.07,0,2,43.2,36.74,45.85,2,1,0
7.11,83.23,65.35,2,3,80.98,76.97,82.9,3,2,0
5.71,61.53,61.39,1,0,28.52,23.51,19.63,3,0,0
6.25,63.34,54.97,0,0,51.26,58.39,38.5,2,0,0
8.26,98.0,77.15,3,4,99.0,90.56,76.26,2,2,1
6.02,69.11,67.92,1,2,52.73,59.98,48.45,2,0,0
9.06,89.88,80.97,2,4,89.4,70.63,76.46,0,5,1
6.15,62.34,63.63,1,0,61.34,62.35,43.48,4,0,0
5.23,61.02,52.71,1,0,40.55,51.61,38.38,2,3,0
5.91,55.34,52.27,2,1,51.98,79.65,70.01,2,1,0
7.97,74.3,83.33,3,1,51.82,61.25,43.3,3,0,0
6.88,59.95,65.5,1,2,42.81,60.11,37.12,2,2,0
6.97,54.82,68.28,0,0,53.83,50.74,58.43,2,2,0
7.5,63.55,66.61,1,2,49.03,46.41,62.25,3,1,0
5.82,55.26,56.79,1,0,30.23,42.34,27.82,2,0,0
6.03,66.17,62.58,0,2,40.95,38.23,23.11,3,0,0
7.0,78.03,61.48,0,1,57.74,71.6,39.23,2,0,0
7.33,64.05,67.61,0,1,45.49,48.33,40.86,2,0,0
6.12,64.3,50.19,0,2,53.48,64.12,58.44,2,2,0
5.64,66.15,68.1,0,0,23.97,46.18,38.36,1,2,0
8.24,96.98,96.13,2,3,91.78,68.89,99.0,1,2,0
6.14,69.02,80.57,0,1,62.26,61.35,39.79,4,0,0
7.3,75.97,83.26,0,5,62.35,54.54,64.97,1,2,0
7.91,74.02,69.24,1,2,72.58,70.1,84.9,1,1,1
6.81,54.98,63.92,2,1,58.76,49.74,56.75,3,1,0
6.45,60.8,66.87,1,3,62.49,70.98,65.21,2,3,1
6.6,61.12,65.01,0,3,57.87,53.19,45.3,3,2,0
8.39,77.6,77.45,2,7,79.52,94.87,80.87,0,3,1
6.74,70.19,70.8,1,0,62.23,59.33,34.16,1,1,1
6.73,65.1,52.01,4,1,65.6,54.13,59.12,1,2,0
7.82,67.94,60.91,0,4,77.5,60.85,52.15,1,0,0
7.39,69.51,58.49,1,1,56.87,59.07,55.04,3,0,0
6.38,60.41,62.39,2,2,65.65,74.16,51.8,2,2,1
9.16,73.43,82.72,1,3,41.83,64.76,62.42,0,0,1
7.82,77.96,74.37,1,0,55.48,76.85,36.92,1,2,0
7.06,71.14,68.5,0,3,72.28,75.56,44.57,2,0,0
8.21,86.16,78.16,4,6,87.78,88.07,93.43,1,4,1
6.5,68.45,54.44,1,4,58.66,48.75,48.47,3,2,0
6.47,66.82,77.76,1,2,48.27,33.38,29.88,1,0,0
6.65,50.93,62.52,1,5,61.06,59.32,53.73,2,1,0
7.49,71.25,67.21,0,3,51.8,64.68,41.08,3,1,0
7.58,75.86,70.32,3,1,38.21,77.17,48.84,2,1,0
6.03,71.06,69.04,3,3,61.29,70.97,72.1,3,0,0
7.29,71.34,70.75,1,1,71.74,80.9,80.7,3,4,1
7.82,75.51,83.06,0,1,35.61,48.82,27.76,3,1,0
7.89,78.27,68.93,3,5,68.27,59.14,70.61,2,4,1
6.08,58.65,49.3,0,0,36.67,22.04,40.42,4,1,0
6.99,74.6,69.76,2,3,60.68,56.8,52.09,3,2,0
6.57,69.14,63.9,0,1,55.74,58.54,48.73,1,0,0
5.52,55.9,58.45,0,1,20.0,61.71,22.6,2,0,0
9.1,73.99,77.17,3,0,55.68,86.39,66.46,1,2,1
6.96,66.21,64.39,0,0,54.22,49.15,30.77,2,0,0
5.82,56.89,61.47,0,0,43.69,43.16,36.18,3,0,0
7.21,73.08,74.57,1,2,66.09,60.52,75.64,4,4,0
7.1,64.27,78.0,0,0,58.44,71.35,68.72,1,2,0
8.09,80.65,71.26,1,1,72.53,64.3,88.41,2,3,1
7.69,64.67,67.36,0,0,35.67,29.65,35.56,2,0,0
8.64,85.77,72.27,1,5,89.26,78.1,99.0,1,1,1
8.04,69.85,71.95,1,3,58.26,43.15,55.82,1,0,0
8.7,86.05,76.95,3,2,88.85,49.33,97.94,1,2,1
5.82,60.22,54.11,0,0,64.57,55.05,76.54,2,0,0
6.42,75.3,69.85,1,2,74.71,78.95,53.23,2,1,0
7.38,71.35,73.79,2,1,61.66,87.47,64.95,1,2,1
6.46,62.27,53.28,1,1,59.61,65.52,56.92,2,2,1
6.54,74.25,56.92,0,0,54.2,62.73,39.77,2,1,1
5.2,60.23,58.03,0,1,45.79,60.68,45.35,2,0,0
7.3,66.39,63.73,1,2,55.51,65.86,50.31,1,0,0
6.86,72.58,73.69,0,2,79.18,59.85,52.3,2,3,0
8.88,66.19,81.02,2,4,88.79,79.28,77.3,1,4,1
8.27,81.09,77.53,0,0,53.42,42.2,44.9,0,0,0
8.77,73.89,64.42,2,4,58.49,49.81,48.81,0,1,1
7.74,70.83,82.04,1,2,48.67,50.56,51.75,1,1,0
6.53,72.86,61.82,2,3,57.86,67.59,65.2,3,2,0
9.35,93.19,85.82,1,7,90.32,56.66,99.0,1,2,1
6.98,80.33,87.78,0,4,69.28,58.77,72.33,1,2,0
8.72,83.07,91.86,1,3,73.75,72.3,61.95,2,3,0
7.6,63.29,70.31,0,4,49.68,58.42,46.56,3,0,0
6.23,72.08,66.83,0,3,64.03,51.65,56.04,2,0,0
7.42,74.79,65.14,0,1,58.43,51.1,52.22,2,1,1
6.83,57.51,72.85,0,0,42.85,52.91,41.17,3,0,0
6.44,65.65,56.76,3,1,71.56,66.38,60.81,2,2,0
8.94,76.85,70.32,1,7,84.74,73.72,79.51,0,1,1
7.39,70.27,72.51,1,3,67.5,86.96,85.07,4,1,1
6.62,72.42,53.66,0,0,36.16,34.39,15.64,2,0,0
5.96,60.47,59.08,0,2,61.16,41.96,39.91,2,1,0
6.41,74.47,59.08,1,4,64.65,65.54,80.25,3,2,0
8.12,65.24,70.36,2,3,61.74,81.88,63.02,3,2,0
6.89,61.99,63.43,1,0,59.13,81.01,76.59,3,2,0
7.49,86.43,83.14,1,7,75.68,89.42,69.01,2,1,1
7.47,77.98,72.39,3,1,65.45,54.26,67.36,2,3,1
6.92,71.05,61.29,0,0,47.9,31.37,37.42,2,1,0
7.88,75.61,85.0,0,4,71.26,63.14,56.48,2,2,0
7.39,75.73,75.77,0,1,58.73,27.69,42.63,1,1,0
6.1,55.87,45.68,0,0,42.0,74.25,33.81,4,3,0
7.62,83.66,62.94,1,5,68.56,72.19,80.45,0,2,1
5.43,55.55,59.57,0,3,28.13,41.76,32.45,3,0,0
8.98,88.14,97.19,3,4,88.78,71.38,84.03,1,2,1
7.4,78.69,57.68,1,3,84.08,80.57,69.22,1,0,1
7.72,74.45,54.78,0,0,52.4,53.07,62.16,4,0,0
7.79,84.63,89.65,0,0,58.37,55.1,52.0,4,0,0
7.19,67.23,76.63,0,1,44.19,49.29,38.42,3,0,0
8.7,70.5,71.34,2,3,76.41,57.37,52.13,1,0,0
8.92,68.21,81.33,1,3,84.9,96.02,79.35,1,3,0
9.22,81.72,76.87,0,3,71.02,46.3,67.26,1,4,0
9.13,86.32,78.5,1,5,90.06,90.96,97.57,2,1,0
8.14,65.89,70.17,1,2,52.41,73.24,39.77,2,2,0
5.77,59.08,52.34,0,0,47.15,47.1,20.11,2,0,0
8.52,83.37,74.37,1,1,84.49,48.58,73.14,0,1,1
5.89,55.22,46.46,0,0,48.12,43.98,48.12,3,1,0
9.25,84.35,91.56,2,6,99.0,99.0,93.4,1,6,1
8.42,84.08,81.0,1,4,59.14,43.9,79.62,1,1,1
6.27,56.0,74.76,1,3,50.19,48.54,40.94,2,4,0
8.6,83.18,77.67,2,2,62.03,55.43,52.7,1,2,0
7.13,78.24,69.44,0,3,56.65,65.42,51.26,3,3,0
5.89,68.21,56.43,0,2,40.88,35.95,47.82,1,2,0
6.63,68.1,64.13,0,2,55.51,37.05,46.42,2,3,0
7.39,79.22,65.07,1,2,66.71,60.95,74.62,2,3,0
6.54,61.1,60.91,0,0,34.03,54.41,54.61,2,1,0
6.44,61.71,61.69,1,0,30.55,41.98,33.88,2,1,0
6.87,68.06,71.53,0,0,59.37,64.53,61.95,2,3,0
7.68,82.45,71.01,1,3,60.34,53.49,63.21,0,2,1
8.05,82.54,78.77,2,2,80.27,82.31,72.2,2,3,1
8.38,81.42,73.31,2,3,74.56,49.4,73.02,0,2,1
5.95,70.71,56.05,3,0,41.18,62.43,53.04,3,1,0
7.97,78.19,72.87,0,1,50.08,69.68,49.35,2,2,0
7.47,69.99,74.18,0,4,66.01,53.7,54.05,1,0,1
8.78,89.29,83.05,2,3,76.58,83.43,92.61,1,2,1
7.49,67.81,66.0,0,2,70.21,40.47,39.03,3,1,0
6.58,64.4,64.34,0,0,33.44,58.04,27.54,1,0,0
6.27,61.13,50.57,0,4,55.59,58.14,52.85,1,0,0
7.36,72.57,65.7,2,2,47.32,32.91,45.3,0,2,0
7.47,82.61,80.01,2,4,79.66,68.91,77.49,0,3,1
6.48,62.84,69.2,0,0,29.09,66.12,40.15,2,0,0
